away_team,away_score,home_team,home_score,id
SEA,41,BAL,44,231123033
NE,23,HOU,20,231123034
CHI,19,DEN,10,231123007
STL,30,ARI,27,231123022
TEN,38,ATL,31,231123001
OAK,24,KC,27,231123012
CIN,34,SD,27,231123024
WSH,23,MIA,24,231123015
NYG,13,TB,19,231124027
GB,14,DET,22,231127008
MIA,40,DAL,21,231127006
ARI,3,CHI,28,231130003
NE,38,IND,34,231130011
MIN,17,STL,48,231130014
BUF,24,NYG,7,231130019
CIN,24,PIT,20,231130023
PHI,25,CAR,16,231130029
SF,6,BAL,44,231130033
ATL,13,HOU,17,231130034
NO,24,WSH,20,231130028
DEN,22,OAK,8,231130013
KC,28,SD,24,231130024
CLE,7,SEA,34,231130026
TB,10,JAX,17,231130030
TEN,17,NYJ,24,231201020
SD,14,DET,7,231207008
CHI,21,GB,34,231207009
IND,29,TEN,27,231207010
SEA,7,MIN,34,231207016
TB,14,NO,7,231207018
WSH,20,NYG,7,231207019
DAL,10,PHI,36,231207021
OAK,7,PIT,27,231207023
HOU,0,JAX,27,231207030
CIN,13,BAL,31,231207033
ARI,14,SF,50,231207025
NYJ,6,BUF,17,231207002
KC,27,DEN,45,231207007
MIA,0,NE,12,231207017
CAR,14,ATL,20,231207001
STL,26,CLE,20,231208005
MIN,10,CHI,13,231214003
SF,38,CIN,41,231214004
BUF,26,TEN,28,231214010
ATL,7,IND,38,231214011
DET,17,KC,45,231214012
SEA,22,STL,27,231214014
JAX,13,NE,27,231214017
PIT,0,NYJ,6,231214020
HOU,3,TB,16,231214027
CLE,20,DEN,23,231214007
BAL,12,OAK,20,231214013
CAR,20,ARI,17,231214022
GB,38,SD,21,231214024
DAL,27,WSH,0,231214028
NYG,7,NO,45,231214018
PHI,34,MIA,27,231215015
ATL,30,TB,28,231220027
KC,20,MIN,45,231220016
NE,21,NYJ,16,231220020
MIA,20,BUF,3,231221002
WSH,24,CHI,27,231221003
BAL,35,CLE,0,231221005
NYG,3,DAL,19,231221006
CIN,10,STL,27,231221014
DET,14,CAR,20,231221029
NO,19,JAX,20,231221030
TEN,27,HOU,24,231221034
SD,24,PIT,40,231221023
SF,31,PHI,28,231221021
ARI,10,SEA,28,231221026
DEN,31,IND,17,231221011
GB,41,OAK,7,231222013
BUF,0,NE,31,231227017
SEA,24,SF,17,231227025
PHI,31,WSH,7,231227028
JAX,14,ATL,21,231228001
CLE,22,CIN,14,231228004
STL,20,DET,30,231228008
TB,13,TEN,33,231228010
CHI,3,KC,31,231228012
NYJ,21,MIA,23,231228015
DAL,7,NO,13,231228018
IND,20,HOU,17,231228034
CAR,37,NYG,24,231228019
MIN,17,ARI,18,231228022
DEN,3,GB,31,231228009
OAK,14,SD,21,231228024
PIT,10,BAL,13,231228033
IND,24,NE,27,240909017
TEN,17,MIA,7,240911015
JAX,13,BUF,10,240912002
DET,20,CHI,16,240912003
BAL,3,CLE,20,240912005
ARI,10,STL,17,240912014
SEA,21,NO,7,240912018
CIN,24,NYJ,31,240912020
OAK,21,PIT,24,240912023
TB,10,WSH,16,240912028
SD,27,HOU,20,240912034
DAL,17,MIN,35,240912016
NYG,17,PHI,31,240912021
ATL,21,SF,19,240912025
KC,24,DEN,34,240912007
GB,24,CAR,14,240913029
STL,17,ATL,34,240919001
HOU,16,DET,28,240919008
CHI,21,GB,10,240919009
IND,31,TEN,17,240919010
CAR,28,KC,17,240919012
SF,27,NO,30,240919018
WSH,14,NYG,20,240919019
DEN,6,JAX,7,240919030
PIT,13,BAL,30,240919033
SEA,10,TB,6,240919027
