,away_team,away_score,home_team,home_score,id
495,GB,41,OAK,7,231222013
496,BUF,0,NE,31,231227017
497,SEA,24,SF,17,231227025
498,PHI,31,WSH,7,231227028
499,JAX,14,ATL,21,231228001
500,CLE,22,CIN,14,231228004
501,STL,20,DET,30,231228008
502,TB,13,TEN,33,231228010
503,CHI,3,KC,31,231228012
504,NYJ,21,MIA,23,231228015
505,DAL,7,NO,13,231228018
506,IND,20,HOU,17,231228034
507,CAR,37,NYG,24,231228019
508,MIN,17,ARI,18,231228022
509,DEN,3,GB,31,231228009
510,OAK,14,SD,21,231228024
511,PIT,10,BAL,13,231228033
512,IND,24,NE,27,240909017
513,TEN,17,MIA,7,240911015
514,JAX,13,BUF,10,240912002
515,DET,20,CHI,16,240912003
516,BAL,3,CLE,20,240912005
517,ARI,10,STL,17,240912014
518,SEA,21,NO,7,240912018
519,CIN,24,NYJ,31,240912020
520,OAK,21,PIT,24,240912023
521,TB,10,WSH,16,240912028
522,SD,27,HOU,20,240912034
523,DAL,17,MIN,35,240912016
524,NYG,17,PHI,31,240912021
525,ATL,21,SF,19,240912025
526,KC,24,DEN,34,240912007
527,GB,24,CAR,14,240913029
528,STL,17,ATL,34,240919001
529,HOU,16,DET,28,240919008
530,CHI,21,GB,10,240919009
531,IND,31,TEN,17,240919010
532,CAR,28,KC,17,240919012
533,SF,27,NO,30,240919018
534,WSH,14,NYG,20,240919019
535,DEN,6,JAX,7,240919030
536,PIT,13,BAL,30,240919033
537,SEA,10,TB,6,240919027
538,CLE,12,DAL,19,240919006
539,BUF,10,OAK,13,240919013
540,NE,23,ARI,12,240919022
541,NYJ,34,SD,28,240919024
542,MIA,13,CIN,16,240919004
543,MIN,16,PHI,27,240920021
544,ARI,3,ATL,6,240926001
545,BAL,23,CIN,9,240926004
546,PHI,30,DET,13,240926008
547,JAX,15,TEN,12,240926010
548,HOU,24,KC,21,240926012
549,NO,28,STL,25,240926014
550,CHI,22,MIN,27,240926016
551,CLE,10,NYG,27,240926019
552,SD,13,DEN,23,240926007
553,GB,31,IND,45,240926011
554,SF,0,SEA,34,240926026
555,TB,20,OAK,30,240926013
556,PIT,13,MIA,3,240926015
557,DAL,21,WSH,18,240927028
558,NE,31,BUF,17,241003002
559,PHI,19,CHI,9,241003003
560,WSH,13,CLE,17,241003005
561,NYG,14,GB,7,241003009
562,CIN,17,PIT,28,241003023
563,IND,24,JAX,17,241003030
564,OAK,17,HOU,30,241003034
565,NO,10,ARI,34,241003022
566,ATL,27,CAR,10,241003029
567,NYJ,17,MIA,9,241003015
568,TEN,17,SD,38,241003024
569,DEN,16,TB,13,241003027
570,STL,24,SF,14,241003025
571,KC,27,BAL,24,241004033
572,DET,17,ATL,10,241010001
573,NYG,26,DAL,10,241010006
574,OAK,14,IND,35,241010011
575,MIA,10,NE,24,241010017
576,TB,20,NO,17,241010018
577,CLE,23,PIT,34,241010023
578,MIN,34,HOU,28,241010034
579,BUF,14,NYJ,16,241010020
580,JAX,21,SD,34,241010024
581,CAR,17,DEN,20,241010007
582,ARI,28,SF,31,241010025
583,STL,33,SEA,27,241010026
584,BAL,17,WSH,10,241010028
585,TEN,48,GB,27,241011009
586,SD,20,ATL,21,241017001
587,MIA,13,BUF,20,241017002
588,WSH,13,CHI,10,241017003
589,CIN,17,CLE,34,241017005
590,GB,38,DET,10,241017008
591,HOU,20,TEN,10,241017010
592,SEA,20,NE,30,241017017
593,SF,14,NYJ,22,241017020
594,CAR,8,PHI,30,241017021
595,KC,16,JAX,22,241017030
596,PIT,24,DAL,20,241017006
597,DEN,31,OAK,3,241017013
598,MIN,38,NO,31,241017018
599,TB,21,STL,28,241018014
600,PHI,34,CLE,31,241024005
601,JAX,27,IND,24,241024011
602,ATL,10,KC,56,241024012
603,STL,14,MIA,31,241024015
604,TEN,3,MIN,20,241024016
605,DET,28,NYG,13,241024019
606,CHI,7,TB,19,241024027
607,SD,17,CAR,6,241024029
608,BUF,6,BAL,20,241024033
609,NYJ,7,NE,13,241024017
610,DAL,20,GB,41,241024009
611,NO,31,OAK,26,241024013
612,SEA,17,ARI,25,241024022
613,DEN,10,CIN,23,241025004
614,ARI,14,BUF,38,241031002
615,DET,21,DAL,31,241031006
616,CIN,20,TEN,27,241031010
617,IND,35,KC,45,241031012
618,NYG,34,MIN,13,241031016
619,BAL,10,PHI,15,241031021
620,GB,28,WSH,14,241031028
621,JAX,6,HOU,20,241031034
622,ATL,41,DEN,28,241031007
623,CAR,17,SEA,23,241031026
624,NE,20,PIT,34,241031023
625,OAK,14,SD,42,241031024
626,SF,13,CHI,23,241031003
627,MIA,14,NYJ,41,241101020
628,NYJ,17,BUF,22,241107002
629,DAL,3,CIN,26,241107004
630,WSH,17,DET,10,241107008
631,ARI,24,MIA,23,241107015
632,PHI,3,PIT,27,241107023
633,KC,31,TB,34,241107027
634,OAK,27,CAR,24,241107029
635,CHI,28,NYG,21,241107019
636,NO,17,SD,43,241107024
637,SEA,42,SF,27,241107025
638,HOU,13,DEN,31,241107007
639,NE,40,STL,22,241107014
640,CLE,13,BAL,27,241107033
641,MIN,28,IND,31,241108011
642,TB,14,ATL,24,241114001
643,PIT,24,CLE,10,241114005
644,CHI,19,TEN,17,241114010
645,HOU,14,IND,49,241114011
646,SEA,12,STL,23,241114014
647,KC,20,NO,27,241114018
648,BAL,20,NYJ,17,241114020
649,DET,17,JAX,23,241114030
650,CIN,17,WSH,10,241114028
651,MIN,31,GB,34,241114009
652,NYG,14,ARI,17,241114022
653,CAR,37,SF,27,241114025
654,BUF,6,NE,29,241114017
655,PHI,49,DAL,21,241115006
656,STL,17,BUF,37,241121002
657,IND,41,CHI,10,241121003
658,PIT,19,CIN,14,241121004
659,NYJ,10,CLE,7,241121005
660,DET,19,MIN,22,241121016
661,DEN,34,NO,13,241121018
662,SF,3,TB,35,241121027
663,ARI,10,CAR,35,241121029
664,TEN,18,JAX,15,241121030
665,DAL,10,BAL,30,241121033
666,SD,23,OAK,17,241121013
667,MIA,17,SEA,24,241121026
668,ATL,14,NYG,10,241121019
669,WSH,6,PHI,28,241121021
670,GB,16,HOU,13,241121034
671,NE,27,KC,19,241122012
672,IND,41,DET,9,241125008
673,CHI,7,DAL,21,241125006
674,CLE,48,CIN,58,241128004
675,SD,34,KC,31,241128012
676,JAX,16,MIN,27,241128016
677,PHI,27,NYG,6,241128019
678,WSH,7,PIT,16,241128023
679,TB,14,CAR,21,241128029
680,TEN,21,HOU,31,241128034
681,NO,21,ATL,24,241128001
682,BAL,3,NE,24,241128017
683,NYJ,13,ARI,3,241128022
684,MIA,24,SF,17,241128025
685,BUF,38,SEA,9,241128026
686,OAK,25,DEN,24,241128007
687,STL,17,GB,45,241129009
688,MIN,14,CHI,24,241205003
689,NE,42,CLE,15,241205005
690,ARI,12,DET,26,241205008
691,TEN,24,IND,51,241205011
692,SF,6,STL,16,241205014
693,BUF,42,MIA,32,241205015
694,CAR,32,NO,21,241205018
695,HOU,7,NYJ,29,241205020
696,ATL,0,TB,27,241205027
697,CIN,27,BAL,26,241205033
698,KC,34,OAK,27,241205013
699,DEN,17,SD,20,241205024
700,GB,17,PHI,47,241205021
701,NYG,7,WSH,31,241205028
702,PIT,17,JAX,16,241205030
703,DAL,43,SEA,39,241206026
704,OAK,10,ATL,35,241212001
705,CLE,7,BUF,37,241212002
706,NO,27,DAL,13,241212006
707,SEA,27,MIN,23,241212016
708,CIN,28,NE,35,241212017
709,CHI,3,JAX,22,241212030
710,NYG,14,BAL,37,241212033
711,IND,23,HOU,14,241212034
712,MIA,17,DEN,20,241212007
713,NYJ,6,PIT,17,241212023
714,DET,13,GB,16,241212009
715,SF,31,ARI,28,241212022
716,TB,24,SD,31,241212024
717,STL,7,CAR,20,241212029
718,PHI,17,WSH,14,241212028
719,KC,49,TEN,38,241213010
720,PIT,33,NYG,30,241218019
721,WSH,26,SF,16,241218025
722,CAR,31,ATL,34,241218001
723,HOU,24,CHI,5,241219003
724,BUF,33,CIN,17,241219004
725,SD,21,CLE,0,241219005
726,MIN,28,DET,27,241219008
727,DEN,17,KC,45,241219012
728,SEA,14,NYJ,37,241219020
729,DAL,7,PHI,12,241219021
730,STL,7,ARI,31,241219022
731,NO,21,TB,17,241219027
732,JAX,28,GB,25,241219009
733,TEN,35,OAK,40,241219013
734,BAL,10,IND,20,241219011
735,NE,28,MIA,29,241220015
736,GB,34,MIN,31,241224016
737,OAK,30,KC,31,241225012
738,DEN,37,TEN,16,241225010
739,NYG,22,CIN,23,241226004
740,CHI,13,DET,19,241226008
741,SD,31,IND,34,241226011
742,ATL,13,NO,26,241226018
743,BAL,7,PIT,20,241226023
744,HOU,21,JAX,0,241226030
745,NE,23,NYJ,7,241226020
746,BUF,41,SF,7,241226025
747,WSH,10,DAL,13,241226006
748,ARI,21,SEA,24,241226026
749,CAR,37,TB,20,241226027
750,CLE,7,MIA,10,241226015
751,PHI,7,STL,20,241227014
752,PIT,29,BUF,24,250102002
753,GB,31,CHI,14,250102003
754,DET,19,TEN,24,250102010
755,NYJ,29,STL,32,250102014
756,SF,7,NE,21,250102017
757,CIN,38,PHI,10,250102021
758,MIN,18,WSH,21,250102028
759,NO,21,CAR,18,250102029
760,MIA,23,BAL,30,250102033
761,CLE,22,HOU,14,250102034
762,TB,7,ARI,12,250102022
763,ATL,26,SEA,28,250102026
764,IND,14,DEN,33,250102007
765,JAX,13,OAK,6,250102013
766,KC,17,SD,24,250102024
767,DAL,24,NYG,28,250102019
768,OAK,20,NE,30,250908017
769,HOU,7,BUF,22,250911002
770,CIN,27,CLE,13,250911005
771,NYJ,7,KC,27,250911012
772,DEN,10,MIA,34,250911015
773,TB,24,MIN,13,250911016
774,TEN,7,PIT,34,250911023
775,CHI,7,WSH,9,250911028
776,NO,23,CAR,20,250911029
777,SEA,14,JAX,26,250911030
778,GB,3,DET,17,250911008
779,ARI,19,NYG,42,250911019
780,DAL,28,SD,24,250911024
781,STL,25,SF,28,250911025
782,IND,24,BAL,7,250911033
783,PHI,10,ATL,14,250912001
784,DET,6,CHI,38,250918003
785,MIN,8,CIN,37,250918004
786,BAL,10,TEN,25,250918010
787,JAX,3,IND,10,250918011
788,SF,3,PHI,42,250918021
789,BUF,3,TB,19,250918027
790,NE,17,CAR,27,250918029
791,PIT,27,HOU,7,250918034
792,STL,17,ARI,12,250918022
793,ATL,18,SEA,21,250918026
794,SD,17,DEN,20,250918007
795,CLE,26,GB,24,250918009
796,MIA,7,NYJ,17,250918020
797,KC,23,OAK,17,250918013
